Tỉnh_th,Quận_huy,Phường_,Dân_số_,Green_Area_m2,Green_Area_ha
tỉnh Bắc Ninh,,Tân An,37816,1.3323613132103622E7,1332.3613132103621
tỉnh Bắc Ninh,,Tân Tiến,34321,7743543.128516253,774.3543128516253
tỉnh Bắc Ninh,,Cảnh Thụy,26928,6399752.294116003,639.9752294116004
tỉnh Bắc Ninh,,Vân Hà,58177,1.7814141855082344E7,1781.4141855082344
tỉnh Bắc Ninh,,Nếnh,55559,1.2273697024527159E7,1227.369702452716
tỉnh Bắc Ninh,,Quế Võ,40194,4837735.334137172,483.77353341371725
tỉnh Bắc Ninh,,Nhân Hòa,30909,4871237.018389295,487.1237018389295
tỉnh Bắc Ninh,,Phương Liễu,42255,2529099.3240012378,252.90993240012378
tỉnh Bắc Ninh,,Đào Viên,34724,5142733.321639147,514.2733321639147
tỉnh Bắc Ninh,,Tự Lạn,45470,2.2669639631966356E7,2266.9639631966356
tỉnh Bắc Ninh,,Việt Yên,59470,2.182970443644846E7,2182.970443644846
tỉnh Bắc Ninh,,Bồng Lai,25375,2771420.0924068377,277.14200924068376
tỉnh Bắc Ninh,,Từ Sơn,65697,6644003.702356435,664.4003702356435
tỉnh Bắc Ninh,,Thuận Thành,52318,4692326.268049143,469.23262680491433
tỉnh Bắc Ninh,,Mão Điền,42785,4517785.172814792,451.7785172814792
tỉnh Bắc Ninh,,Trí Quả,34574,5413278.443295766,541.3278443295766
tỉnh Bắc Ninh,,Trạm Lộ,21132,2624827.4328748817,262.4827432874882
tỉnh Bắc Ninh,,Tam Sơn,28562,2638292.588000039,263.8292588000039
tỉnh Bắc Ninh,,Phù Khê,50574,5051572.539012894,505.1572539012894
tỉnh Bắc Ninh,,Đồng Nguyên,46023,4066644.2166329776,406.6644216632978
tỉnh Bắc Ninh,,Ninh Xá,22369,2603094.1480589323,260.30941480589325
