khoa,Loại,Sáp nhập từ,Diện tích (km2),Phường xã mới,Tỉnh thành mới,Dân số (người),Trung tâm hành chính,Diện tích tham khảo (m2)
3Bình Khê,phường,"Phường Tràng An, Phường Bình Khê, Xã Tràng Lương",138.74,Bình Khê,tỉnh Quảng Ninh,21845,"Trụ sở Đảng ủy, HĐND, UBND phường Bình Khê",139182366
3Hoàng Quế,phường,"Phường Yên Đức, Phường Hoàng Quế, Xã Hồng Thái Tây, Xã Hồng Thái Đông",63.83,Hoàng Quế,tỉnh Quảng Ninh,31988,"Trụ sở Đảng ủy, HĐND, UBND phường Hoàng Quế",64115024
3Việt Hưng,phường,"Phường Giếng Đáy, Phường Việt Hưng, Phường Hà Khẩu",41.39,Việt Hưng,tỉnh Quảng Ninh,51787,"Trụ sở Đảng ủy, HĐND, UBND phường Giếng Đáy",42178983
3Hà An,phường,"Phường Tân An, Phường Hà An, Xã Hoàng Tân, Xã Liên Hòa",100.18,Hà An,tỉnh Quảng Ninh,21314,"Trụ sở Đảng ủy, HĐND, UBND phường Hà An",66725329
3Hoành Bồ,phường,"Phường Hoành Bồ, Xã Sơn Dương, Xã Lê Lợi, Xã Đồng Lâm",276.12,Hoành Bồ,tỉnh Quảng Ninh,17310,"Trụ sở Đảng ủy, HĐND, UBND phường Hoành Bồ",178089767
3Vàng Danh,phường,"Phường Bắc Sơn, Phường Nam Khê, Phường Vàng Danh, Phường Trưng Vương",93.77,Vàng Danh,tỉnh Quảng Ninh,38864,"Trụ sở Đảng ủy, HĐND, UBND phường Trưng Vương",94035270
3Bãi Cháy,phường,"Phường Hùng Thắng, Phường Bãi Cháy",25.39,Bãi Cháy,tỉnh Quảng Ninh,42018,"Trụ sở Đảng ủy, HĐND, UBND phường Bãi Cháy",29463718
3Hà Lầm,phường,"Phường Cao Thắng, Phường Hà Trung, Phường Hà Lầm",11.99,Hà Lầm,tỉnh Quảng Ninh,47474,"Trụ sở Đảng ủy, HĐND, UBND phường Cao Thắng",12033104
3Quang Hanh,phường,"Phường Cẩm Thạch, Phường Cẩm Thủy, Phường Quang Hanh",63.63,Quang Hanh,tỉnh Quảng Ninh,52750,"Trụ sở Đảng ủy, HĐND, UBND phường Quang Hanh",61751933
3Mông Dương,phường,"Phường Mông Dương, Xã Dương Huy",167.16,Mông Dương,tỉnh Quảng Ninh,18953,"Trụ sở Đảng ủy, HĐND, UBND phường Mông Dương",167707957
3Cẩm Phả,phường,"Phường Cẩm Trung, Phường Cẩm Thành, Phường Cẩm Bình, Phường Cẩm Tây, Phường Cẩm Đông",17.52,Cẩm Phả,tỉnh Quảng Ninh,61506,"Thành ủy, HĐND, UBND thành phố Cẩm Phả",21258216
3Cửa Ông,phường,"Phường Cẩm Phú, Phường Cẩm Thịnh, Phường Cẩm Sơn, Phường Cửa Ông",41.07,Cửa Ông,tỉnh Quảng Ninh,66504,"Trụ sở Đảng ủy, HĐND, UBND phường Cẩm Sơn",40962475
3Phong Cốc,phường,"Phường Nam Hòa, Phường Yên Hải, Phường Phong Cốc, Xã Cẩm La",42.17,Phong Cốc,tỉnh Quảng Ninh,27356,"Trụ sở Đảng ủy, HĐND, UBND phường Phong Cốc",47206741
3Hiệp Hòa,phường,"Phường Cộng Hòa, Xã Sông Khoai, Xã Hiệp Hòa",35.83,Hiệp Hòa,tỉnh Quảng Ninh,33381,"Trụ sở Đảng ủy, HĐND, UBND phường Hiệp Hòa",35990711
3Đông Mai,phường,"Phường Minh Thành, Phường Đông Mai",50.61,Đông Mai,tỉnh Quảng Ninh,21649,"Trụ sở Đảng ủy, HĐND, UBND phường Đông Mai",50625002
3Cao Xanh,phường,"Phường Hà Khánh, Phường Cao Xanh",38.89,Cao Xanh,tỉnh Quảng Ninh,32809,"Trụ sở Đảng ủy, HĐND, UBND phường Cao Xanh",38924917
3Liên Hòa,phường,"Phường Phong Hải, Xã Liên Vị, Xã Tiền Phong, Xã Liên Hòa",71.44,Liên Hòa,tỉnh Quảng Ninh,32847,"Trụ sở Đảng ủy, HĐND, UBND xã Liên Hòa",61491456
3Quảng Yên,phường,"Phường Yên Giang, Phường Quảng Yên, Xã Tiền An",20.69,Quảng Yên,tỉnh Quảng Ninh,31353,"Trụ sở Đảng ủy, HĐND, UBND thị xã Quảng Yên",20648519
3Móng Cái 3,phường,"Phường Hải Yên, Xã Hải Đông",90.03,Móng Cái 3,tỉnh Quảng Ninh,22565,"Trụ sở Đảng ủy, HĐND, UBND phường Hải Yên",78021629
3Móng Cái 2,phường,"Phường Ninh Dương, Phường Ka Long, Xã Vạn Ninh",72.97,Móng Cái 2,tỉnh Quảng Ninh,29189,"Trụ sở Đảng ủy, HĐND, UBND phường Ka Long",42150482
3An Sinh,phường,"Phường Bình Dương, Xã An Sinh, Xã Việt Dân, Phường Đức Chính",106.42,An Sinh,tỉnh Quảng Ninh,24956,"Trụ sở Đảng ủy, HĐND, UBND phường Bình Dương",107724976
3Đông Triều,phường,"Phường Thủy An, Phường Hưng Đạo, Phường Hồng Phong, Xã Nguyễn Huệ, Phường Đức Chính",40.42,Đông Triều,tỉnh Quảng Ninh,43712,"Trụ sở Thành ủy, HĐND, UBND thành phố Đông Triều",39606550
3Mạo Khê,phường,"Phường Xuân Sơn, Phường Kim Sơn, Phường Yên Thọ, Phường Mạo Khê",46.55,Mạo Khê,tỉnh Quảng Ninh,72012,"Trụ sở Đảng ủy, HĐND, UBND phường Mạo Khê",47090307
3Tuần Châu,phường,"Phường Đại Yên, Phường Tuần Châu, Phường Hà Khẩu",62.08,Tuần Châu,tỉnh Quảng Ninh,14904,"Trụ sở Đảng ủy, HĐND, UBND phường Đại Yên",62098054
3Móng Cái 1,phường,"Phường Trần Phú, Phường Hải Hòa, Phường Bình Ngọc, Phường Trà Cổ, Xã Hải Xuân",82.47,Móng Cái 1,tỉnh Quảng Ninh,46588,"Trụ sở Thành ủy, HĐND, UBND thành phố Móng Cái",65894662
21Ngũ Hành Sơn,phường,"Phường Mỹ An, Phường Khuê Mỹ, Phường Hòa Hải, Phường Hòa Quý",40.19,Ngũ Hành Sơn,thành phố Đà Nẵng,115944,"Số 486 đường Lê Văn Hiến, phường Ngũ Hành Sơn",39672400
21Cẩm Lệ,phường,"Phường Hòa Thọ Tây, Phường Hòa Thọ Đông, Phường Khuê Trung",14.05,Cẩm Lệ,thành phố Đà Nẵng,78837,"Số 135 đường Ông Ích Đường, phường Cẩm Lệ",13851115
21Hòa Xuân,phường,"Phường Hòa Xuân, Xã Hòa Châu, Xã Hòa Phước",27.96,Hòa Xuân,thành phố Đà Nẵng,85580,"Số 111 đường Hoàng Ngân, phường Hòa Xuân",27916620
21Bàn Thạch,phường,"Phường Tân Thạnh, Phường Hòa Thuận, Xã Tam Thăng",34.77,Bàn Thạch,thành phố Đà Nẵng,36800,"Số 268 đường Trưng Nữ Vương, phường Bàn Thạch",34544356
21Quảng Phú,phường,"Phường An Phú, Xã Tam Thanh, Xã Tam Phú",36.21,Quảng Phú,thành phố Đà Nẵng,29401,"Khối phố Phú Thạnh, Phường Quảng Phú",36380021
21Hòa Cường,phường,"Phường Bình Thuận, Phường Hòa Thuận Tây, Phường Hòa Cường Bắc, Phường Hòa Cường Nam",15.72,Hòa Cường,thành phố Đà Nẵng,119363,"Số 338 đường Núi Thành, phường Hòa Cường",15567847
21An Khê,phường,"Phường Hòa An, Phường Hòa Phát, Phường An Khê",12.36,An Khê,thành phố Đà Nẵng,93625,"Số 916 đường Tôn Đản, phường An Khê",12615949
21Hòa Khánh,phường,"Phường Hòa Khánh Nam, Phường Hòa Minh, Xã Hòa Sơn",40.93,Hòa Khánh,thành phố Đà Nẵng,112518,"Số 168 đường Nguyễn Sinh Sắc, phường Hòa Khánh",42223146
21Thanh Khê,phường,"Phường Xuân Hà, Phường Chính Gián, Phường Thạc Gián, Phường Thanh Khê Tây, Phường Thanh Khê Đông",7.92,Thanh Khê,thành phố Đà Nẵng,201240,"Số 503 đường Trần Cao Vân, phường Thanh Khê",6946182
21Hải Châu,phường,"Phường Thanh Bình, Phường Thuận Phước, Phường Thạch Thang, Phường Phước Ninh, Phường Hải Châu",7.58,Hải Châu,thành phố Đà Nẵng,131427,"Số 15 đường Lê Hồng Phong, phường Hải Châu",6734665
21An Hải,phường,"Phường Phước Mỹ, Phường An Hải Bắc, Phường An Hải Nam",7.37,An Hải,thành phố Đà Nẵng,82635,"Số 289 đường Nguyễn Công Trứ, phường An Hải",7340500
21Sơn Trà,phường,"Phường Thọ Quang, Phường Nại Hiên Đông, Phường Mân Thái",56.03,Sơn Trà,thành phố Đà Nẵng,86890,"Số 06 đường Nguyễn Phan Vinh, phường Sơn Trà",55166699
21Liên Chiểu,phường,"Phường Hòa Khánh Bắc, Xã Hòa Liên (phần còn lại sau khi sáp nhập vào phường Hải Vân)",41.19,Liên Chiểu,thành phố Đà Nẵng,70628,"Số 68 đường Lạc Long Quân, phường Liên Chiểu",49380274
21Hải Vân,phường,"Phường Hòa Hiệp Bắc, Phường Hòa Hiệp Nam, Xã Hòa Bắc, Xã Hòa Liên",406.09,Hải Vân,thành phố Đà Nẵng,48992,"Lô 1-2 đường Nguyễn Tất Thành, phường Hải Vân",390810184
21Hội An,phường,"Phường Minh An, Phường Cẩm Phô, Phường Sơn Phong, Phường Cẩm Nam, Xã Cẩm Kim",10.81,Hội An,thành phố Đà Nẵng,37222,"Số 09 đường Trần Hưng Đạo, phường Hội An",11062220
21An Thắng,phường,"Phường Điện An, Phường Điện Thắng Nam, Phường Điện Thắng Trung",19.64,An Thắng,thành phố Đà Nẵng,34176,"Khối phố Phong Nhị, phường An Thắng",19732728
21Hội An Tây,phường,"Phường Thanh Hà, Phường Tân An, Phường Cẩm An, Xã Cẩm Hà",18.09,Hội An Tây,thành phố Đà Nẵng,42370,"Số 54 đường Nguyễn Công Trứ, phường Hội An Tây",17836700
21Điện Bàn Bắc,phường,"Phường Điện Thắng Bắc, Xã Điện Hòa, Xã Điện Tiến",33.39,Điện Bàn Bắc,thành phố Đà Nẵng,30780,"Thôn Xóm Bùng, phường Điện Bàn Bắc",36180838
21Hội An Đông,phường,"Phường Cẩm Châu, Phường Cửa Đại, Xã Cẩm Thanh",18.22,Hội An Đông,thành phố Đà Nẵng,31109,"Số 456 đường Cửa Đại, phường Hội An Đông,",17740814
21Điện Bàn,phường,"Phường Điện Phương, Phường Điện Minh, Phường Vĩnh Điện",19.78,Điện Bàn,thành phố Đà Nẵng,41270,"Số 22 đường Hoàng Diệu, khối 3, phường Điện Bàn",19623241
21Điện Bàn Đông,phường,"Phường Điện Nam Đông, Phường Điện Nam Trung, Phường Điện Dương, Phường Điện Ngọc, Phường Điện Nam Bắc",61.02,Điện Bàn Đông,thành phố Đà Nẵng,72273,"Số 845 đường Trần Thủ Độ, Khối phố Quảng Lăng B",62122839
21Tam Kỳ,phường,"Phường An Mỹ, Phường An Xuân, Phường Trường Xuân",8.36,Tam Kỳ,thành phố Đà Nẵng,44075,"Số 70 đường Hùng Vương, phường Tam Kỳ",8318006
21Hương Trà,phường,"Phường An Sơn, Phường Hòa Hương, Xã Tam Ngọc",14.64,Hương Trà,thành phố Đà Nẵng,33523,"Số 510 đường Hùng Vương, phường Hương Trà",14666460
18Hà Huy Tập,phường,"Xã Tân Lâm Hương, Xã Thạch Đài, Phường Đại Nài",32.62,Hà Huy Tập,tỉnh Hà Tĩnh,28742,UBND xã Tân Lâm Hương,31507809
