khoa,Loại,Sáp nhập từ,Diện tích (km2),Phường xã mới,Tỉnh thành mới,Dân số (người),Trung tâm hành chính,Diện tích tham khảo (m2)
25Buôn Hồ,phường,"Phường Đạt Hiếu, Phường An Bình, Phường An Lạc, Phường Thiện An, Phường Thống Nhất, Phường Đoàn Kết",66.54,Buôn Hồ,tỉnh Đắk Lắk,6278,"Trụ sở Thị ủy Buôn Hồ, Trụ sở UBND thị xã Buôn Hồ",66784195
25Cư Bao,phường,"Phường Bình Tân, Xã Bình Thuận, Xã Cư Bao",104.94,Cư Bao,tỉnh Đắk Lắk,36911,"Trụ sở UBND xã Cư Bao, Trụ sở UBND phường Bình Tân, Trụ sở UBND xã Bình Thuận",101069266
25Tân Lập,phường,"Phường Tân Hòa, Phường Tân Lập, Xã Hòa Thắng (thành phố Buôn Ma Thuột)",46.7,Tân Lập,tỉnh Đắk Lắk,73316,"Trụ sở UBND phường Tân Hòa, Trụ sở UBND phường Tân Lập",47121346
25Tân An,phường,"Phường Tân An, Xã Ea Tu, Xã Hòa Thuận",8.06,Tân An,tỉnh Đắk Lắk,85997,"Trụ sở UBND xã Ea Tu, Trụ sở UBND xã Hòa Thuận",56379641
25Ea Kao,phường,"Phường Ea Tam, Xã Ea Kao",60.7,Ea Kao,tỉnh Đắk Lắk,5707,"Trụ sở UBND xã Ea Kao, Trụ sở UBND phường Ea Tam",61472085
25Tuy Hòa,phường,"Phường 1, Phường 2, Phường 4, Phường 5, Phường 7, Phường 9, Xã Hòa An (huyện Phú Hòa) (phần còn lại sau khi sáp nhập vào xã Phú Hòa 1), Xã Hòa Trị (phần còn lại sau khi sáp nhập vào xã Phú Hòa 2)",33.77,Tuy Hòa,tỉnh Đắk Lắk,126118,"Trụ sở Thành ủy Tuy Hòa, Trụ sở UBND thành phố Tuy Hòa",36029758
25Xuân Đài,phường,"Phường Xuân Thành, Phường Xuân Đài",13.4,Xuân Đài,tỉnh Đắk Lắk,21574,Trụ sở UBND phường Xuân Đài,13083170
25Phú Yên,phường,"Phường Phú Đông, Phường Phú Lâm, Phường Phú Thạnh, Xã Hòa Thành (thị xã Đông Hòa), Phường Hòa Hiệp Bắc, Xã Hòa Bình 1 (phần còn lại sau khi sáp nhập vào xã Tây Hòa)",44.04,Phú Yên,tỉnh Đắk Lắk,61799,"Trụ sở UBND phường Phú Thạnh, Trụ sở UBND phường Phú Lâm",44930732
25Bình Kiến,phường,"Xã An Phú, Xã Hòa Kiến, Xã Bình Kiến, Phường 9 (phần còn lại sau khi sáp nhập vào phường Tuy Hòa)",73.71,Bình Kiến,tỉnh Đắk Lắk,44406,đang cập nhật,71170632
25Sông Cầu,phường,"Phường Xuân Yên, Phường Xuân Phú, Xã Xuân Phương, Xã Xuân Thịnh",90.49,Sông Cầu,tỉnh Đắk Lắk,38891,"Trụ sở Thị ủy Sông Cầu, Trụ sở UBND thị xã Sông Cầu hiện nay",89229275
25Đông Hòa,phường,"Phường Hòa Vinh, Phường Hòa Xuân Tây, Xã Hòa Tân Đông",21.89,Đông Hòa,tỉnh Đắk Lắk,132056,"Trụ sở Thị ủy Đông Hòa, Trụ sở UBND thị xã Đông Hòa",77537766
25Hòa Hiệp,phường,"Phường Hòa Hiệp Trung, Phường Hòa Hiệp Nam, Phường Hòa Hiệp Bắc (phần còn lại sau khi sáp nhập vào phường Phú Yên)",40.81,Hòa Hiệp,tỉnh Đắk Lắk,53597,"Trụ sở UBND phường Hòa Hiệp Trung, Trụ sở UBND phường Hòa Hiệp Nam",39885282
24Pleiku,phường,"Phường Tây Sơn (thành phố Pleiku), Phường Hội Thương, Phường Hoa Lư, Phường Phù Đổng, Xã Trà Đa",25.0,Pleiku,tỉnh Gia Lai,79466,UBND thành phố Pleiku,25988708
24Ayun Pa,phường,"Phường Đoàn Kết, Phường Sông Bờ, Phường Cheo Reo, Phường Hòa Bình",17.61,Ayun Pa,tỉnh Gia Lai,2682,UBND thị xã Ayun Pa,17657130
24Tam Quan,phường,"Phường Tam Quan, Xã Hoài Châu",29.82,Tam Quan,tỉnh Gia Lai,24858,Phường Tam Quan,29875230
24Bồng Sơn,phường,"Phường Hoài Đức, Phường Bồng Sơn",81.11,Bồng Sơn,tỉnh Gia Lai,41435,Phường Bồng Sơn,80994949
24Hoài Nhơn Bắc,phường,"Phường Tam Quan Bắc, Xã Hoài Sơn, Xã Hoài Châu Bắc",89.45,Hoài Nhơn Bắc,tỉnh Gia Lai,44581,Phường Tam Quan Bắc,89133494
24Hoài Nhơn Tây,phường,"Phường Hoài Hảo, Xã Hoài Phú",78.15,Hoài Nhơn Tây,tỉnh Gia Lai,25572,Phường Hoài Hảo,78506893
24Hoài Nhơn,phường,"Phường Hoài Thanh, Phường Tam Quan Nam, Phường Hoài Thanh Tây",40.32,Hoài Nhơn,tỉnh Gia Lai,43167,Phường Hoài Thanh Tây,40288472
24Hoài Nhơn Đông,phường,"Phường Hoài Hương, Xã Hoài Hải, Xã Hoài Mỹ",64.36,Hoài Nhơn Đông,tỉnh Gia Lai,44634,Phường Hoài Hương,64516995
24Hoài Nhơn Nam,phường,"Phường Hoài Tân, Phường Hoài Xuân",37.67,Hoài Nhơn Nam,tỉnh Gia Lai,32707,Phường Hoài Tân,37656674
24Quy Nhơn Bắc,phường,"Phường Trần Quang Diệu, Phường Nhơn Phú",23.7,Quy Nhơn Bắc,tỉnh Gia Lai,45746,Phường Nhơn Phú,23800202
24Quy Nhơn,phường,"Phường Đống Đa (thành phố Quy Nhơn), Phường Hải Cảng, Phường Thị Nại, Phường Trần Phú",21.78,Quy Nhơn,tỉnh Gia Lai,129326,Thành ủy Quy Nhơn,21825633
24Quy Nhơn Đông,phường,"Phường Nhơn Bình, Xã Nhơn Hội, Xã Nhơn Lý, Xã Nhơn Hải",81.97,Quy Nhơn Đông,tỉnh Gia Lai,47067,Xã Nhơn Hội,81504727
24Bình Định,phường,"Phường Bình Định, Xã Nhơn Khánh, Xã Nhơn Phúc",25.16,Bình Định,tỉnh Gia Lai,42768,Phường Bình Định,25022673
24An Nhơn,phường,"Phường Đập Đá, Xã Nhơn Mỹ, Xã Nhơn Hậu",3.23,An Nhơn,tỉnh Gia Lai,114498,Phường Đập Đá,34636480
24An Nhơn Bắc,phường,"Phường Nhơn Thành, Xã Nhơn Phong, Xã Nhơn Hạnh",31.95,An Nhơn Bắc,tỉnh Gia Lai,38484,Xã Nhơn Phong,32088696
24An Nhơn Đông,phường,"Phường Nhơn Hưng, Xã Nhơn An",17.21,An Nhơn Đông,tỉnh Gia Lai,26443,Phường Nhơn Hưng,17188624
24Quy Nhơn Tây,phường,"Phường Bùi Thị Xuân, Xã Phước Mỹ",118.63,Quy Nhơn Tây,tỉnh Gia Lai,24859,Phường Bùi Thị Xuân,119360947
24Quy Nhơn Nam,phường,"Phường Ngô Mây (thành phố Quy Nhơn), Phường Nguyễn Văn Cừ, Phường Quang Trung, Phường Ghềnh Ráng",36.36,Quy Nhơn Nam,tỉnh Gia Lai,73296,Phường Nguyễn Văn Cừ,35684776
24An Nhơn Nam,phường,"Phường Nhơn Hòa, Xã Nhơn Thọ",60.05,An Nhơn Nam,tỉnh Gia Lai,31651,Phường Nhơn Hòa,60284133
24An Bình,phường,"Phường An Bình, Xã Tân An, Xã Cư An",18.39,An Bình,tỉnh Gia Lai,5015,UBND phường An Bình,73156747
24An Khê,phường,"Phường Ngô Mây, Phường Tây Sơn (thị xã An Khê), Phường An Phú, Phường An Phước, Phường An Tân, Xã Thành An",57.44,An Khê,tỉnh Gia Lai,50495,UBND thị xã An Khê,57471175
24Diên Hồng,phường,"Phường Yên Đỗ, Phường Ia Kring, Phường Diên Hồng, Xã Diên Phú",1.86,Diên Hồng,tỉnh Gia Lai,75633,Thành ủy Pleiku,26834981
24Hội Phú,phường,"Phường Trà Bá, Phường Chi Lăng, Phường Hội Phú",34.86,Hội Phú,tỉnh Gia Lai,46358,UBND phường Chi Lăng,34878798
24Thống Nhất,phường,"Phường Đống Đa (thành phố Pleiku), Phường Yên Thế, Phường Thống Nhất",22.92,Thống Nhất,tỉnh Gia Lai,48721,UBND phường Yên Thế,22953393
24An Phú,phường,"Phường Thắng Lợi, Xã Chư Á, Xã An Phú",16.85,An Phú,tỉnh Gia Lai,16293,UBND xã An Phú,32295414
26Mũi Né,phường,"Phường Hàm Tiến, Phường Mũi Né, Xã Thiện Nghiệp",118.59,Mũi Né,tỉnh Lâm Đồng,50166,Phường Hàm Tiến,119178433
26Phú Thủy,phường,"Phường Thanh Hải, Phường Phú Hài, Phường Phú Thủy",17.34,Phú Thủy,tỉnh Lâm Đồng,đang cập nhật,Phường Phú Thủy,17699857
26Bình Thuận,phường,"Phường Phú Tài, Xã Phong Nẫm, Xã Hàm Hiệp",45.16,Bình Thuận,tỉnh Lâm Đồng,47858,Xã Phong Nẫm,44828342
26Phan Thiết,phường,"Phường Phú Trinh, Phường Lạc Đạo, Phường Bình Hưng",4.46,Phan Thiết,tỉnh Lâm Đồng,85493,Phường Lạc Đạo,4602535
26Hàm Thắng,phường,"Phường Xuân An, Thị trấn Phú Long, Xã Hàm Thắng",44.9,Hàm Thắng,tỉnh Lâm Đồng,54544,Phường Xuân An,44982260
26Tiến Thành,phường,"Phường Đức Long, Xã Tiến Thành",55.06,Tiến Thành,tỉnh Lâm Đồng,28395,Phường Đức Long,55577631
26Phước Hội,phường,"Phường Phước Lộc, Phường Phước Hội, Xã Tân Phước",38.09,Phước Hội,tỉnh Lâm Đồng,4948,Phường Phước Hội,37817284
26La Gi,phường,"Phường Tân An, Phường Bình Tân, Phường Tân Thiện, Xã Tân Bình",68.47,La Gi,tỉnh Lâm Đồng,60549,Phường Tân An,68902125
28Trảng Dài,phường,"Phường Trảng Dài, Xã Thiện Tân",37.3,Trảng Dài,tỉnh Đồng Nai,104972,"Số 462 Bùi Trọng Nghĩa, khu phố 3A, phường Trảng Dài.",37419576
28Tân Triều,phường,"Phường Tân Phong, Xã Tân Bình, Xã Bình Lợi, Xã Thạnh Phú",63.3,Tân Triều,tỉnh Đồng Nai,101608,"Đường 768, ấp 2, xã Thạnh Phú.",63760009
28Long Bình,phường,"Phường Hố Nai, Phường Tân Biên, Phường Long Bình",40.2,Long Bình,tỉnh Đồng Nai,26378,"Số 68 Thân Nhân Trung, khu phố 8, phường Long Bình.",45125503
28Hố Nai,phường,"Phường Tân Hòa, Xã Hố Nai 3",22.9,Hố Nai,tỉnh Đồng Nai,78902,"Số 386 quốc lộ 1A, khu phố 1, phường Hố Nai.",22931389
28Tam Phước,phường,Không sáp nhập,45.1,Tam Phước,tỉnh Đồng Nai,48313,"Quốc lộ 51, khu phố Long Đức 3, phường Tam Phước.",45271283
28Phước Tân,phường,Không sáp nhập,42.8,Phước Tân,tỉnh Đồng Nai,64181,"1393 quốc lộ 51, khu phố Hương Phước, phường Phước Tân.",43009587
28Xuân Lập,phường,"Phường Bàu Sen, Phường Xuân Lập",29.2,Xuân Lập,tỉnh Đồng Nai,18947,"Quốc lộ 1, khu phố Bàu Sen, phường Xuân Lập.",29292895
28Tam Hiệp,phường,"Phường Tân Hiệp, Phường Tân Mai, Phường Bình Đa, Phường Tam Hiệp",10.8,Tam Hiệp,tỉnh Đồng Nai,139441,"Đường Trần Quốc Toản, tổ 29C, khu phố 3, phường Tam Hiệp.",10857947
28Trấn Biên,phường,"Phường Bửu Long, Phường Quang Vinh, Phường Trung Dũng, Phường Thống Nhất, Phường Hiệp Hòa, Phường An Bình",31.0,Trấn Biên,tỉnh Đồng Nai,19706,"Số 63 Võ Thị Sáu, khu phố 11, phường Trấn Biên.",30968250
28Long Hưng,phường,"Phường Long Bình Tân, Phường An Hòa, Xã Long Hưng (thành phố Biên Hòa)",32.4,Long Hưng,tỉnh Đồng Nai,74184,"Đường Nguyễn Văn Tỏ, khu phố Thái Hòa, phường Long Hưng.",32600496
28Biên Hòa,phường,"Phường Tân Hạnh, Phường Hóa An, Phường Bửu Hòa, Phường Tân Vạn",21.5,Biên Hòa,tỉnh Đồng Nai,74919,"Số 277 Nguyễn Tri Phương, khu phố 2, phường Biên Hòa.",21629412
28Long Khánh,phường,"Xã Xuân An, Xã Xuân Bình, Xã Xuân Hòa, Xã Phú Bình, Xã Bàu Trâm",21.3,Long Khánh,tỉnh Đồng Nai,7707,"Đường Cách Mạng Tháng Tám, phường Long Khánh.",21374688
28Bình Lộc,phường,"Phường Suối Tre, Xã Xuân Thiện, Xã Bình Lộc",77.2,Bình Lộc,tỉnh Đồng Nai,36195,"Đường N5, phường Bình Lộc.",77438353
28Bảo Vinh,phường,"Phường Bảo Vinh, Xã Bảo Quang",50.9,Bảo Vinh,tỉnh Đồng Nai,36989,"Đường Duy Tân, khu phố Ruộng Hời, phường Bảo Vinh.",51057225
28Hàng Gòn,phường,"Phường Xuân Tân, Xã Hàng Gòn",45.6,Hàng Gòn,tỉnh Đồng Nai,24931,"Quốc lộ 56, phường Hàng Gòn.",45752092
1Đống Đa,phường,"Phường Thịnh Quang, Phường Quang Trung (quận Đống Đa), Phường Láng Hạ, Phường Nam Đồng, Phường Ô Chợ Dừa, Phường Trung Liệt",2.07,Đống Đa,Thủ đô Hà Nội,81358,"Số 59 phố Hoàng Cầu, phường Đống Đa",2086881
1Hồng Hà,phường,"Phường Chương Dương, Phường Phúc Tân, Phường Phúc Xá, Phường Nhật Tân, Phường Phú Thượng, Phường Quảng An, Phường Thanh Lương, Phường Tứ Liên, Phường Yên Phụ, Phường Bồ Đề, Phường Ngọc Thụy, Phường Bạch Đằng (phần còn lại sau khi sáp nhập vào phường Hai Bà Trưng)",15.09,Hồng Hà,Thủ đô Hà Nội,123282,"Số 30 phố Tứ Liên, phường Hồng Hà",15361487
1Hoàng Mai,phường,"Phường Giáp Bát, Phường Hoàng Liệt, Phường Hoàng Văn Thụ, Phường Lĩnh Nam, Phường Tân Mai, Phường Thịnh Liệt, Phường Tương Mai, Phường Trần Phú, Phường Vĩnh Hưng, Phường Yên Sở",9.04,Hoàng Mai,Thủ đô Hà Nội,98502,"Số 8 ngõ 6 phố Bùi Huy Bích, phường Hoàng Mai",8784958
1Lĩnh Nam,phường,"Phường Lĩnh Nam, Phường Thanh Trì, Phường Trần Phú, Phường Yên Sở, Phường Thanh Lương (phần còn lại sau khi sáp nhập vào phường Vĩnh Tuy, phường Hồng Hà)",10.86,Lĩnh Nam,Thủ đô Hà Nội,20706,"Số 669 đường Lĩnh Nam, phường Lĩnh Nam",10819503
1Long Biên,phường,"Phường Cự Khối, Phường Phúc Đồng, Phường Thạch Bàn, Xã Bát Tràng, Phường Long Biên, Phường Bồ Đề, Phường Gia Thụy",19.04,Long Biên,Thủ đô Hà Nội,62887,"Số 199 đường Bát Khối, phường Long Biên",19487285
1Chương Mỹ,phường,"Phường Biên Giang, Thị trấn Chúc Sơn, Xã Đại Yên, Xã Ngọc Hòa, Xã Phụng Châu, Xã Tiên Phương, Xã Thuỵ Hương, Phường Đồng Mai (phần còn lại sau khi sáp nhập vào phường Yên Nghĩa)",38.9,Chương Mỹ,Thủ đô Hà Nội,87913,"Số 102, tổ dân phố Bắc Sơn, phường Chương Mỹ",39138852
1Tương Mai,phường,"Phường Giáp Bát, Phường Phương Liệt, Phường Mai Động (phần còn lại sau khi sáp nhập vào phường Vĩnh Tuy), Phường Minh Khai (quận Hai Bà Trưng) (phần còn lại sau khi sáp nhập vào phường Bạch Mai), Phường Đồng Tâm (phần còn lại sau khi sáp nhập vào phường Bạch Mai), Phường Trương Định (phần còn lại sau khi sáp nhập vào phường Bạch Mai), Phường Hoàng Văn Thụ (phần còn lại sau khi sáp nhập vào phường Hoàng Mai), Phường Tân Mai (phần còn lại sau khi sáp nhập vào phường Hoàng Mai), Phường Tương Mai (phần còn lại sau khi sáp nhập vào phường Hoàng Mai), Phường Vĩnh Hưng (phần còn lại sau khi sáp nhập vào phường Vĩnh Tuy, phường Hoàng Mai, phường Vĩnh Hưng)",3.56,Tương Mai,Thủ đô Hà Nội,136292,"Số 2/224 đường Hoàng Mai, phường Tương Mai",3590269
1Hà Đông,phường,"Phường Phúc La, Phường Vạn Phúc, Phường Quang Trung (quận Hà Đông), Phường Đại Mỗ, Phường Hà Cầu, Phường La Khê, Phường Văn Quán, Xã Tân Triều, Phường Mộ Lao (phần còn lại sau khi sáp nhập vào phường Đại Mỗ)",9.0,Hà Đông,Thủ đô Hà Nội,185205,"Số 2, phố Hà Cầu, phường Hà Đông",9383722
1Dương Nội,phường,"Phường Dương Nội, Phường Phú La, Phường Yên Nghĩa, Xã La Phù, Phường Đại Mỗ (phần còn lại sau khi sáp nhập vào phường Xuân Phương, phường Tây Mỗ, phường Đại Mỗ, phường Hà Đông), Phường La Khê (phần còn lại sau khi sáp nhập vào phường Hà Đông)",7.9,Dương Nội,Thủ đô Hà Nội,56091,"Lô HC01 - khu A khu đô thị mới Dương Nội, phường Dương Nội",7778508
1Kiến Hưng,phường,"Phường Kiến Hưng, Phường Phú Lương, Phường Quang Trung (quận Hà Đông) (phần còn lại sau khi sáp nhập vào phường Hà Đông), Phường Hà Cầu (phần còn lại sau khi sáp nhập vào phường Hà Đông), Phường Phú La (phần còn lại sau khi sáp nhập vào phường Dương Nội)",6.65,Kiến Hưng,Thủ đô Hà Nội,70833,"Lô C3, khu đô thị Văn Phú, phường Kiến Hưng",6397819
1Yên Nghĩa,phường,"Phường Đồng Mai, Phường Yên Nghĩa (phần còn lại sau khi sáp nhập vào phường Dương Nội)",13.18,Yên Nghĩa,Thủ đô Hà Nội,49643,"Tổ dân phố 10, phường Yên Nghĩa",13279382
1Phú Lương,phường,"Phường Phú Lãm, Phường Kiến Hưng, Phường Phú Lương, Xã Cự Khê, Xã Hữu Hòa",9.4,Phú Lương,Thủ đô Hà Nội,52024,"Tổ dân phố 4, phường Phú Lương",9541963
1Thanh Liệt,phường,"Xã Tả Thanh Oai, Phường Đại Kim (phần còn lại sau khi sáp nhập vào phường Định Công, phường Hoàng Liệt, phường Khương Đình), Phường Thanh Xuân Bắc (phần còn lại sau khi sáp nhập vào phường Thanh Xuân), Phường Hạ Đình (phần còn lại sau khi sáp nhập vào phường Khương Đình), Phường Văn Quán (phần còn lại sau khi sáp nhập vào phường Hà Đông), Xã Thanh Liệt (phần còn lại sau khi sáp nhập vào phường Định Công, phường Hoàng Liệt), Xã Tân Triều (phần còn lại sau khi sáp nhập vào phường Định Công, phường Khương Đình, phường Hà Đông)",6.44,Thanh Liệt,Thủ đô Hà Nội,76238,"Thôn Triều Khúc, phường Thanh Liệt",6468986
1Tùng Thiện,phường,"Phường Xuân Khanh, Phường Trung Sơn Trầm, Xã Xuân Sơn, Phường Trung Hưng (phần còn lại sau khi sáp nhập vào phường Sơn Tây), Phường Sơn Lộc (phần còn lại sau khi sáp nhập vào phường Sơn Tây), Xã Thanh Mỹ (phần còn lại sau khi sáp nhập vào phường Sơn Tây)",32.34,Tùng Thiện,Thủ đô Hà Nội,42052,"Số 66 đường Thanh Mỹ, thôn Thủ Trung, phường Tùng Thiện",32650416
1Phương Liệt,phường,"Phường Khương Mai, Phường Thịnh Liệt (phần còn lại sau khi sáp nhập vào phường Hoàng Mai, phường Định Công, phường Yên Sở), Phường Phương Liệt (phần còn lại sau khi sáp nhập vào phường Tương Mai), Phường Định Công (phần còn lại sau khi sáp nhập vào phường Định Công), Phường Khương Đình (phần còn lại sau khi sáp nhập vào phường Khương Đình), Phường Khương Trung (phần còn lại sau khi sáp nhập vào phường Khương Đình)",3.2,Phương Liệt,Thủ đô Hà Nội,81977,"Số 136 Nguyễn Ngọc Nại, phường Phương Liệt",3274276
1Bồ Đề,phường,"Phường Ngọc Lâm, Phường Đức Giang, Phường Gia Thụy, Phường Thượng Thanh, Phường Phúc Đồng, Phường Ngọc Thụy (phần còn lại sau khi sáp nhập vào phường Hồng Hà), Phường Bồ Đề (phần còn lại sau khi sáp nhập vào phường Hồng Hà, phường Long Biên), Phường Long Biên (phần còn lại sau khi sáp nhập vào phường Long Biên)",12.94,Bồ Đề,Thủ đô Hà Nội,120028,"Số 270, đường Ngọc Thuỵ, phường Bồ Đề",12616537
1Thanh Xuân,phường,"Phường Nhân Chính, Phường Thanh Xuân Bắc, Phường Thanh Xuân Trung, Phường Thượng Đình, Phường Trung Hoà, Phường Trung Văn",3.24,Thanh Xuân,Thủ đô Hà Nội,106316,"Số 9 Khuất Duy Tiến, phường Thanh Xuân",3282568
1Hoàn Kiếm,phường,"Phường Hàng Bạc, Phường Hàng Bồ, Phường Hàng Buồm, Phường Hàng Đào, Phường Hàng Gai, Phường Hàng Mã, Phường Lý Thái Tổ, Phường Cửa Đông, Phường Cửa Nam, Phường Điện Biên, Phường Đồng Xuân, Phường Hàng Bông, Phường Hàng Trống, Phường Tràng Tiền",1.91,Hoàn Kiếm,Thủ đô Hà Nội,105301,"Số 126 Hàng Trống, phường Hoàn Kiếm",1921165
1Khương Đình,phường,"Phường Hạ Đình, Phường Khương Đình, Phường Khương Trung, Phường Đại Kim, Xã Tân Triều, Phường Thanh Xuân Trung (phần còn lại sau khi sáp nhập vào phường Thanh Xuân), Phường Thượng Đình (phần còn lại sau khi sáp nhập vào phường Thanh Xuân)",3.1,Khương Đình,Thủ đô Hà Nội,86286,"Số 33 Khương Hạ, phường Khương Đình",3116623
1Định Công,phường,"Phường Định Công, Phường Hoàng Liệt, Phường Thịnh Liệt, Xã Tân Triều, Xã Thanh Liệt, Phường Đại Kim, Phường Giáp Bát (phần còn lại sau khi sáp nhập vào phường Hoàng Mai, phường Tương Mai)",5.34,Định Công,Thủ đô Hà Nội,85502,"Số 1 ngõ 282 đường Kim Giang, phường Định Công",5373435
1Sơn Tây,phường,"Phường Ngô Quyền, Phường Phú Thịnh, Phường Viên Sơn, Xã Đường Lâm, Phường Trung Hưng, Phường Sơn Lộc, Xã Thanh Mỹ",23.08,Sơn Tây,Thủ đô Hà Nội,71301,"Số 1 phố Phó Đức Chính, phường Sơn Tây",23280984
1Hoàng Liệt,phường,"Phường Hoàng Liệt, Thị trấn Văn Điển, Xã Tam Hiệp (huyện Thanh Trì), Xã Thanh Liệt, Phường Đại Kim",4.04,Hoàng Liệt,Thủ đô Hà Nội,55820,"Số 5, đường Linh Đường, phường Hoàng Liệt",4081718
1Yên Sở,phường,"Phường Thịnh Liệt, Phường Yên Sở, Xã Tứ Hiệp, Phường Hoàng Liệt (phần còn lại sau khi sáp nhập vào phường Hoàng Mai, phường Định Công, phường Hoàng Liệt), Phường Trần Phú (phần còn lại sau khi sáp nhập vào phường Lĩnh Nam, phường Hoàng Mai)",5.61,Yên Sở,Thủ đô Hà Nội,40913,Số 8 ngõ 6 phố Bùi Huy Bích,5584532
1Vĩnh Hưng,phường,"Phường Vĩnh Hưng, Phường Lĩnh Nam (phần còn lại sau khi sáp nhập vào phường Lĩnh Nam, phường Hoàng Mai), Phường Thanh Trì (phần còn lại sau khi sáp nhập vào phường Lĩnh Nam), Phường Vĩnh Tuy (phần còn lại sau khi sáp nhập vào phường Vĩnh Tuy)",4.47,Vĩnh Hưng,Thủ đô Hà Nội,67561,"Số 177 phố Thanh Đàm, phường Vĩnh Hưng",4405390
1Việt Hưng,phường,"Phường Giang Biên, Phường Phúc Đồng, Phường Việt Hưng, Phường Phúc Lợi, Phường Gia Thụy (phần còn lại sau khi sáp nhập vào phường Long Biên, phường Bồ Đề), Phường Đức Giang (phần còn lại sau khi sáp nhập vào phường Bồ Đề), Phường Thượng Thanh (phần còn lại sau khi sáp nhập vào phường Bồ Đề)",12.91,Việt Hưng,Thủ đô Hà Nội,83188,"Số 1 phố Vạn Hạnh, phường Việt Hưng",12983841
1Cửa Nam,phường,"Phường Hàng Bài, Phường Phan Chu Trinh, Phường Trần Hưng Đạo, Phường Cửa Nam, Phường Nguyễn Du, Phường Phạm Đình Hổ, Phường Hàng Bông (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm), Phường Hàng Trống (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm), Phường Tràng Tiền (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm)",1.68,Cửa Nam,Thủ đô Hà Nội,52751,"Số 29 Quang Trung, phường Cửa Nam",1676694
1Phúc Lợi,phường,"Phường Thạch Bàn, Xã Cổ Bi, Phường Giang Biên (phần còn lại sau khi sáp nhập vào phường Việt Hưng), Phường Việt Hưng (phần còn lại sau khi sáp nhập vào phường Việt Hưng), Phường Phúc Lợi (phần còn lại sau khi sáp nhập vào phường Việt Hưng), Phường Phúc Đồng (phần còn lại sau khi sáp nhập vào phường Long Biên, phường Bồ Đề, phường Việt Hưng)",10.41,Phúc Lợi,Thủ đô Hà Nội,66790,"Tổ 6, phường Phúc Lợi",10310642
1Ô Chợ Dừa,phường,"Phường Cát Linh (phần còn lại sau khi sáp nhập vào phường Giảng Võ), Phường Điện Biên (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm, phường Ba Đình, phường Văn Miếu Quốc Tử Giám), Phường Thành Công (phần còn lại sau khi sáp nhập vào phường Giảng Võ), Phường Ô Chợ Dừa (phần còn lại sau khi sáp nhập vào phường Đống Đa), Phường Trung Liệt (phần còn lại sau khi sáp nhập vào phường Đống Đa, phường Kim Liên), Phường Hàng Bột (phần còn lại sau khi sáp nhập vào phường Văn Miếu Quốc Tử Giám), Phường Văn Miếu Quốc Tử Giám (phần còn lại sau khi sáp nhập vào phường Văn Miếu Quốc Tử Giám)",1.83,Ô Chợ Dừa,Thủ đô Hà Nội,71293,"Số 61 phố Hoàng Cầu, phường Ô Chợ Dừa",1839148
1Bạch Mai,phường,"Phường Bạch Mai, Phường Bách Khoa, Phường Quỳnh Mai, Phường Minh Khai (quận Hai Bà Trưng), Phường Đồng Tâm, Phường Lê Đại Hành, Phường Phương Mai, Phường Trương Định, Phường Thanh Nhàn (phần còn lại sau khi sáp nhập vào phường Hai Bà Trưng)",2.95,Bạch Mai,Thủ đô Hà Nội,129571,"Số 33 Đại Cồ Việt, phường Bạch Mai",2926522
1Vĩnh Tuy,phường,"Phường Mai Động, Phường Thanh Lương, Phường Vĩnh Hưng, Phường Vĩnh Tuy",2.33,Vĩnh Tuy,Thủ đô Hà Nội,90583,"Số 35 phố Vĩnh Tuy, phường Vĩnh Tuy",2328624
1Hai Bà Trưng,phường,"Phường Đồng Nhân, Phường Phố Huế, Phường Bạch Đằng, Phường Lê Đại Hành, Phường Nguyễn Du, Phường Thanh Nhàn, Phường Phạm Đình Hổ (phần còn lại sau khi sáp nhập vào phường Cửa Nam)",2.65,Hai Bà Trưng,Thủ đô Hà Nội,87801,"Số 30 Lê Đại Hành, phường Hai Bà Trưng",2638405
1Láng,phường,"Phường Láng Thượng, Phường Láng Hạ (phần còn lại sau khi sáp nhập vào phường Giảng Võ, phường Đống Đa), Phường Ngọc Khánh (phần còn lại sau khi sáp nhập vào phường Ngọc Hà, phường Giảng Võ)",1.88,Láng,Thủ đô Hà Nội,61135,"Số 79A ngõ 25 Vũ Ngọc Phan, phường Láng",1896697
